Year,CPI,,https://www.dir.ca.gov/OPRL/capriceindex.htm
2018,272.51,,
2017,262.802,,
2016,255.303,,
2015,249.666,,
2014,246.055,,
2013,241.623,,
2012,238.155,,
2011,232.93,,
2010,226.919,,
2009,224.11,,
2008,224.807,,
2007,217.424,,
2006,210.5,,
2005,202.6,,
2004,195.4,,
2003,190.4,,
2002,186.1,,
2001,181.7,,
2000,174.8,,
1999,168.5,,
1998,163.7,,
1997,160.5,,
1996,157.1,,
1995,154,,
1994,151.5,,
1993,149.4,,
1992,145.6,,
1991,140.6,,
1990,135,,
1989,128,,
1988,121.9,,
1987,116.5,,
1986,112,,
1985,108.6,,
1984,103.8,,
1983,98.9,,
1982,97.3,,
1981,91.4,,
1980,82.4,,
1979,71.3,,
1978,64.4,,
1977,59.5,,
1976,55.6,,
1975,52.3,,
1974,47.4,,
1973,43,,
1972,40.6,,
1971,39.3,,
1970,37.9,,
1969,36.1,,
1968,34.4,,
1967,33,,
1966,32.2,,
1965,31.5,,
1964,31,,
1963,30.4,,
1962,29.9,,
1961,29.5,,
1960,29.2,,
1959,28.6,,
1958,28.1,,
1957,27.1,,
1956,26.2,,
1955,25.7,,
